season,date,home_team,date_home,minutes_played_home,made_field_goals_home,attempted_field_goals_home,made_three_point_field_goals_home,attempted_three_point_field_goals_home,made_free_throws_home,attempted_free_throws_home,offensive_rebounds_home,defensive_rebounds_home,assists_home,steals_home,blocks_home,turnovers_home,personal_fouls_home,true_shooting_percentage_home,effective_field_goal_percentage_home,3_point_attempt_rate_home,free_throw_attempt_rate_home,offensive_rebound_percentage_home,defensive_rebound_percentage_home,total_rebound_percentage_home,assist_percentage_home,steal_percentage_home,block_percentage_home,turnover_percentage_home,useage_percentage_home,offensive_rating_home,date_away,minutes_played_away,made_field_goals_away,attempted_field_goals_away,made_three_point_field_goals_away,attempted_three_point_field_goals_away,made_free_throws_away,attempted_free_throws_away,offensive_rebounds_away,defensive_rebounds_away,assists_away,steals_away,blocks_away,turnovers_away,personal_fouls_away,true_shooting_percentage_away,effective_field_goal_percentage_away,3_point_attempt_rate_away,free_throw_attempt_rate_away,offensive_rebound_percentage_away,defensive_rebound_percentage_away,total_rebound_percentage_away,assist_percentage_away,steal_percentage_away,block_percentage_away,turnover_percentage_away,useage_percentage_away,offensive_rating_away,home_won
2010-2011,2010-11-07,LOS ANGELES LAKERS,240.0,40.666666666666664,87.33333333333333,9.833333333333334,22.0,21.666666666666668,26.666666666666668,13.166666666666666,33.333333333333336,22.5,8.666666666666666,4.166666666666667,13.166666666666666,20.166666666666668,0.571,0.5231666666666667,0.25266666666666665,0.31083333333333335,30.100000000000005,68.86666666666666,50.300000000000004,55.75,8.983333333333333,5.8,11.583333333333334,100.0,117.15000000000002,104.99999999999999,244.16666666666666,36.833333333333336,81.83333333333333,4.833333333333333,17.166666666666668,19.666666666666668,25.166666666666668,14.166666666666666,27.0,20.166666666666668,8.833333333333334,5.0,12.666666666666666,23.666666666666668,0.5295,0.48033333333333333,0.21,0.312,32.333333333333336,66.01666666666667,48.800000000000004,54.36666666666667,9.950000000000001,8.4,12.066666666666668,100.0,110.05000000000001,104.51666666666667,1
2010-2011,2010-11-08,MEMPHIS GRIZZLIES,248.33333333333334,39.833333333333336,87.66666666666667,6.0,16.833333333333332,19.666666666666668,27.5,12.666666666666666,29.666666666666668,21.333333333333332,13.5,4.333333333333333,17.0,24.166666666666668,0.5285,0.48833333333333334,0.19233333333333336,0.31583333333333335,27.233333333333338,63.86666666666665,45.583333333333336,53.56666666666666,13.1,6.983333333333333,14.416666666666666,100.0,104.21666666666665,104.2666666666667,248.33333333333334,41.0,86.83333333333333,10.166666666666666,24.666666666666668,17.666666666666668,23.333333333333332,13.166666666666666,28.0,21.166666666666668,7.833333333333333,4.166666666666667,16.333333333333332,22.0,0.568,0.5335000000000001,0.2831666666666667,0.27,29.0,66.28333333333332,47.23333333333333,51.333333333333336,7.8,6.133333333333334,14.216666666666669,100.0,112.46666666666668,112.60000000000001,1
2010-2011,2010-11-08,TORONTO RAPTORS,240.0,36.5,83.83333333333333,4.5,15.666666666666666,22.0,27.666666666666668,14.333333333333334,29.333333333333332,18.666666666666668,8.0,3.3333333333333335,16.333333333333332,23.166666666666668,0.5191666666666667,0.46216666666666667,0.18916666666666668,0.33549999999999996,34.233333333333334,73.0,53.31666666666667,50.53333333333334,8.5,5.083333333333333,14.533333333333333,100.0,105.8,109.88333333333334,240.0,39.833333333333336,88.5,8.0,21.833333333333332,15.833333333333334,22.5,15.5,31.0,24.166666666666668,8.666666666666666,5.166666666666667,15.833333333333334,24.833333333333332,0.5265000000000001,0.4971666666666666,0.24816666666666667,0.25333333333333335,32.949999999999996,70.38333333333333,51.38333333333333,60.88333333333333,8.983333333333333,7.816666666666666,13.866666666666669,100.0,107.30000000000001,106.30000000000001,0
2010-2011,2010-11-09,LOS ANGELES LAKERS,240.0,42.333333333333336,86.5,9.666666666666666,21.333333333333332,20.0,24.5,13.166666666666666,34.166666666666664,24.5,7.833333333333333,4.166666666666667,13.666666666666666,20.5,0.5881666666666666,0.5446666666666666,0.24733333333333338,0.2896666666666667,32.583333333333336,72.23333333333333,53.76666666666667,58.0,8.266666666666667,6.083333333333333,12.133333333333333,100.0,120.53333333333335,104.23333333333333,240.0,33.0,88.66666666666667,5.833333333333333,18.5,22.333333333333332,29.833333333333332,16.666666666666668,32.5,14.666666666666666,7.666666666666667,5.5,18.166666666666668,26.0,0.46249999999999997,0.4038333333333333,0.20883333333333332,0.3421666666666667,31.666666666666668,76.01666666666667,51.31666666666667,43.833333333333336,7.666666666666667,8.383333333333335,15.016666666666667,100.0,94.51666666666667,114.21666666666668,1
2010-2011,2010-11-09,MIAMI HEAT,240.0,36.166666666666664,74.66666666666667,7.5,17.833333333333332,23.0,29.333333333333332,7.666666666666667,34.833333333333336,21.666666666666668,7.666666666666667,6.0,12.5,21.0,0.5871666666666667,0.5356666666666667,0.23850000000000005,0.39683333333333337,20.4,74.91666666666667,50.916666666666664,59.23333333333334,8.416666666666668,9.65,12.433333333333335,100.0,112.7,94.51666666666667,248.33333333333334,37.5,82.5,4.833333333333333,14.166666666666666,22.5,29.5,11.166666666666666,31.333333333333332,23.5,7.5,5.0,16.0,26.166666666666668,0.5351666666666667,0.4813333333333334,0.17200000000000001,0.36433333333333334,25.400000000000002,71.7,48.98333333333334,63.050000000000004,7.683333333333334,7.8500000000000005,14.466666666666667,100.0,104.08333333333333,105.21666666666668,0
2010-2011,2010-11-09,MILWAUKEE BUCKS,244.16666666666666,31.666666666666668,80.33333333333333,5.666666666666667,17.666666666666668,20.333333333333332,26.333333333333332,11.166666666666666,30.166666666666668,17.166666666666668,6.0,2.8333333333333335,14.666666666666666,21.833333333333332,0.4875,0.4316666666666667,0.2221666666666667,0.3293333333333333,25.416666666666668,76.38333333333334,49.199999999999996,54.51666666666667,6.550000000000001,5.25,13.816666666666665,100.0,97.26666666666667,100.90000000000002,240.0,38.333333333333336,85.5,9.0,25.166666666666668,18.0,25.166666666666668,12.833333333333334,31.5,20.333333333333332,9.166666666666666,8.0,15.5,23.0,0.5381666666666667,0.5021666666666667,0.29433333333333334,0.29616666666666663,27.816666666666666,74.68333333333334,50.166666666666664,53.050000000000004,9.4,11.949999999999998,13.800000000000002,100.0,106.48333333333333,103.88333333333333,1
2010-2011,2010-11-09,NEW JERSEY NETS,240.0,34.0,78.33333333333333,6.333333333333333,16.333333333333332,16.833333333333332,22.166666666666668,9.833333333333334,29.833333333333332,18.166666666666668,4.5,3.5,15.166666666666666,23.5,0.521,0.47950000000000004,0.2073333333333333,0.3026666666666667,23.133333333333336,76.63333333333334,49.583333333333336,53.833333333333336,5.033333333333332,6.183333333333334,14.6,100.0,100.58333333333333,108.94999999999999,240.0,36.5,79.33333333333333,6.166666666666667,17.666666666666668,20.5,26.666666666666668,9.166666666666666,28.666666666666668,19.5,6.166666666666667,2.5,14.833333333333334,19.0,0.5455,0.49966666666666665,0.2223333333333333,0.3415000000000001,23.75,73.3,48.333333333333336,53.21666666666667,6.566666666666667,3.9333333333333336,13.983333333333334,100.0,106.5,109.33333333333333,0
2010-2011,2010-11-09,NEW ORLEANS HORNETS,240.0,36.166666666666664,76.83333333333333,5.5,14.833333333333334,19.666666666666668,25.166666666666668,8.666666666666666,33.5,21.5,7.666666666666667,5.0,13.0,22.0,0.5551666666666667,0.5065000000000001,0.19416666666666668,0.32716666666666666,21.599999999999998,76.73333333333333,50.666666666666664,59.416666666666664,8.416666666666666,7.949999999999999,12.966666666666669,100.0,106.85000000000001,100.30000000000001,248.33333333333334,36.666666666666664,83.16666666666667,4.666666666666667,17.166666666666668,18.666666666666668,27.166666666666668,11.833333333333334,31.666666666666668,21.0,6.833333333333333,4.5,15.5,20.333333333333332,0.5083333333333334,0.4693333333333334,0.20650000000000002,0.3266666666666667,27.25,75.21666666666665,50.75,57.150000000000006,7.183333333333334,6.833333333333333,13.883333333333333,100.0,101.60000000000001,108.10000000000001,1
2010-2011,2010-11-09,PORTLAND TRAIL BLAZERS,244.16666666666666,36.166666666666664,79.66666666666667,4.5,17.166666666666668,21.0,26.5,11.666666666666666,25.166666666666668,20.833333333333332,8.0,4.333333333333333,12.833333333333334,22.333333333333332,0.5366666666666667,0.48233333333333334,0.21666666666666665,0.3373333333333333,27.466666666666665,64.25,45.199999999999996,57.43333333333334,8.950000000000001,7.216666666666668,12.383333333333333,100.0,108.46666666666668,109.3,240.0,35.166666666666664,82.0,5.666666666666667,14.333333333333334,18.166666666666668,24.166666666666668,12.833333333333334,27.166666666666668,17.5,6.166666666666667,4.166666666666667,13.666666666666666,20.333333333333332,0.5091666666666667,0.46416666666666667,0.1741666666666667,0.2976666666666667,29.266666666666666,72.18333333333334,48.75,49.56666666666667,6.916666666666667,6.733333333333334,12.783333333333333,100.0,104.75,110.51666666666667,1
2010-2011,2010-11-10,ATLANTA HAWKS,240.0,38.666666666666664,78.66666666666667,4.666666666666667,17.333333333333332,19.5,24.5,10.0,31.666666666666668,24.0,5.166666666666667,4.833333333333333,13.333333333333334,18.833333333333332,0.5683333333333335,0.5221666666666667,0.21933333333333335,0.3111666666666667,25.933333333333334,72.56666666666668,51.449999999999996,61.9,5.7,7.45,13.0,100.0,111.88333333333333,106.86666666666666,244.16666666666666,33.166666666666664,78.83333333333333,6.0,17.0,20.666666666666668,26.833333333333332,11.666666666666666,30.666666666666668,17.166666666666668,6.833333333333333,2.8333333333333335,14.666666666666666,20.666666666666668,0.5138333333333333,0.46016666666666667,0.218,0.3413333333333333,27.883333333333336,79.48333333333335,52.26666666666667,52.333333333333336,7.533333333333334,5.449999999999999,13.966666666666667,100.0,102.38333333333333,99.16666666666667,0
