season,date,home_team,minutes_played_home,made_field_goals_home,attempted_field_goals_home,made_three_point_field_goals_home,attempted_three_point_field_goals_home,made_free_throws_home,attempted_free_throws_home,offensive_rebounds_home,defensive_rebounds_home,assists_home,steals_home,blocks_home,turnovers_home,personal_fouls_home,true_shooting_percentage_home,effective_field_goal_percentage_home,3_point_attempt_rate_home,free_throw_attempt_rate_home,offensive_rebound_percentage_home,defensive_rebound_percentage_home,total_rebound_percentage_home,assist_percentage_home,steal_percentage_home,block_percentage_home,turnover_percentage_home,useage_percentage_home,offensive_rating_home,defensive_rating_home,points_home,minutes_played_away,made_field_goals_away,attempted_field_goals_away,made_three_point_field_goals_away,attempted_three_point_field_goals_away,made_free_throws_away,attempted_free_throws_away,offensive_rebounds_away,defensive_rebounds_away,assists_away,steals_away,blocks_away,turnovers_away,personal_fouls_away,true_shooting_percentage_away,effective_field_goal_percentage_away,3_point_attempt_rate_away,free_throw_attempt_rate_away,offensive_rebound_percentage_away,defensive_rebound_percentage_away,total_rebound_percentage_away,assist_percentage_away,steal_percentage_away,block_percentage_away,turnover_percentage_away,useage_percentage_away,offensive_rating_away,defensive_rating_away,points_away,during_playoffs,home_won
2012-2013,2012-11-10,GOLDEN STATE WARRIORS,240.0,35.333333333333336,82.0,6.166666666666667,19.5,18.166666666666668,25.0,11.5,32.166666666666664,20.5,7.0,3.1666666666666665,16.0,23.666666666666668,0.5115,0.4705,0.23816666666666672,0.30516666666666664,25.95,75.36666666666667,50.68333333333333,57.56666666666666,7.3500000000000005,5.3999999999999995,14.716666666666669,100.0,99.73333333333333,103.18333333333334,95.0,240.0,38.666666666666664,88.83333333333333,6.5,21.666666666666668,13.833333333333334,21.0,16.5,33.5,20.5,8.0,6.833333333333333,15.666666666666666,19.0,0.4963333333333333,0.47066666666666673,0.24450000000000002,0.23733333333333337,35.849999999999994,74.63333333333333,54.95000000000001,54.68333333333334,8.533333333333333,10.966666666666667,13.783333333333331,100.0,104.40000000000002,102.21666666666668,97.66666666666667,0,0
2012-2013,2012-11-10,UTAH JAZZ,240.0,36.666666666666664,85.16666666666667,5.833333333333333,18.333333333333332,16.166666666666668,21.5,13.166666666666666,30.333333333333332,20.0,8.833333333333334,8.0,14.5,23.5,0.5043333333333334,0.4661666666666666,0.2151666666666667,0.2521666666666667,28.200000000000003,72.48333333333333,49.23333333333333,54.73333333333333,9.483333333333334,12.216666666666667,13.333333333333334,100.0,101.78333333333335,104.2,95.33333333333333,240.0,37.833333333333336,87.5,6.0,19.333333333333332,17.333333333333332,24.0,14.5,30.666666666666668,20.333333333333332,8.333333333333334,8.5,14.333333333333334,20.333333333333332,0.504,0.4663333333333333,0.22183333333333333,0.2771666666666667,31.549999999999997,72.5,50.949999999999996,53.63333333333333,8.733333333333334,12.583333333333336,12.766666666666666,100.0,104.36666666666667,110.43333333333334,99.0,0,1
2012-2013,2012-11-11,LOS ANGELES LAKERS,240.0,34.833333333333336,76.33333333333333,6.666666666666667,20.0,21.5,31.833333333333332,14.0,32.833333333333336,20.0,8.166666666666666,5.166666666666667,17.833333333333332,20.166666666666668,0.5449999999999999,0.5021666666666667,0.2603333333333333,0.42166666666666663,34.46666666666667,75.8,55.68333333333333,56.366666666666674,8.899999999999999,8.0,16.516666666666666,100.0,106.08333333333333,103.06666666666666,97.83333333333333,248.33333333333334,35.333333333333336,88.16666666666667,5.166666666666667,17.666666666666668,15.833333333333334,20.833333333333332,12.833333333333334,30.166666666666668,16.0,9.666666666666666,5.5,13.833333333333334,25.5,0.4731666666666667,0.43283333333333335,0.20066666666666666,0.23816666666666667,27.3,71.41666666666666,48.15,45.76666666666667,10.05,8.333333333333334,12.450000000000001,100.0,96.60000000000001,102.28333333333332,91.66666666666667,0,1
2012-2013,2012-11-11,OKLAHOMA CITY THUNDER,240.0,35.0,73.66666666666667,7.166666666666667,17.666666666666668,22.0,26.333333333333332,8.333333333333334,34.0,21.833333333333332,6.666666666666667,7.5,17.5,21.5,0.5821666666666666,0.5248333333333334,0.24116666666666667,0.3571666666666667,22.099999999999998,75.78333333333333,51.28333333333334,62.98333333333334,7.116666666666666,12.316666666666668,17.033333333333335,100.0,106.18333333333335,99.33333333333333,99.16666666666667,240.0,36.666666666666664,82.66666666666667,9.166666666666666,23.0,16.0,24.666666666666668,12.666666666666666,29.0,21.166666666666668,8.833333333333334,2.1666666666666665,17.5,22.666666666666668,0.527,0.4991666666666667,0.2765,0.30050000000000004,29.133333333333336,77.46666666666665,50.68333333333334,58.11666666666667,9.233333333333334,3.733333333333333,15.800000000000002,100.0,103.31666666666668,107.90000000000002,98.5,0,1
2012-2013,2012-11-12,CHICAGO BULLS,240.0,35.833333333333336,80.66666666666667,3.6666666666666665,11.666666666666666,19.166666666666668,24.333333333333332,11.5,31.666666666666668,24.0,7.5,6.5,15.0,18.333333333333332,0.5215,0.47350000000000003,0.14416666666666667,0.30616666666666664,27.63333333333333,75.16666666666666,52.166666666666664,66.6,8.200000000000001,10.016666666666667,14.083333333333334,100.0,102.93333333333334,96.60000000000001,94.5,244.16666666666666,35.166666666666664,77.0,5.333333333333333,14.333333333333334,21.0,26.833333333333332,6.5,31.333333333333332,24.5,6.833333333333333,3.6666666666666665,14.333333333333334,18.5,0.5448333333333333,0.492,0.18533333333333335,0.35200000000000004,16.7,77.08333333333333,47.13333333333333,69.61666666666666,7.166666666666667,5.616666666666667,13.883333333333335,100.0,101.78333333333335,104.83333333333333,96.66666666666667,0,0
2012-2013,2012-11-12,DALLAS MAVERICKS,244.16666666666666,38.833333333333336,81.16666666666667,10.333333333333334,22.5,17.666666666666668,23.666666666666668,8.5,34.833333333333336,23.166666666666668,7.166666666666667,5.5,16.166666666666668,24.166666666666668,0.5808333333333334,0.5439999999999999,0.2775,0.29033333333333333,21.316666666666666,68.11666666666666,48.35,59.51666666666667,7.516666666666667,7.916666666666667,14.883333333333335,100.0,110.68333333333334,106.35000000000001,105.66666666666667,240.0,34.5,78.33333333333333,4.5,15.833333333333334,18.333333333333332,24.5,12.0,30.333333333333332,22.166666666666668,7.666666666666667,7.0,14.666666666666666,17.666666666666668,0.5186666666666667,0.47200000000000003,0.20283333333333334,0.3221666666666666,29.849999999999998,71.71666666666665,51.800000000000004,63.916666666666664,8.666666666666666,10.766666666666666,14.216666666666667,100.0,104.0,101.44999999999999,91.83333333333333,0,0
2012-2013,2012-11-12,DETROIT PISTONS,240.0,34.0,81.16666666666667,5.833333333333333,16.5,16.833333333333332,22.666666666666668,11.333333333333334,26.333333333333332,21.5,5.5,6.333333333333333,14.333333333333334,18.833333333333332,0.49849999999999994,0.4566666666666666,0.20533333333333334,0.2835,26.25,66.13333333333334,45.416666666666664,63.333333333333336,6.083333333333333,10.466666666666667,13.6,100.0,100.03333333333332,113.2666666666667,90.66666666666667,240.0,36.833333333333336,73.0,7.166666666666667,17.333333333333332,22.0,26.166666666666668,7.0,34.166666666666664,22.166666666666668,6.833333333333333,8.333333333333334,18.0,21.833333333333332,0.6086666666666667,0.5538333333333334,0.23850000000000002,0.3575,19.866666666666667,74.61666666666666,50.949999999999996,60.96666666666667,7.233333333333333,13.716666666666667,17.566666666666666,100.0,109.3,99.46666666666668,102.83333333333333,0,0
2012-2013,2012-11-12,HOUSTON ROCKETS,244.16666666666666,34.333333333333336,84.5,8.166666666666666,28.166666666666668,17.666666666666668,22.333333333333332,13.833333333333334,33.666666666666664,21.166666666666668,10.333333333333334,3.3333333333333335,18.5,19.0,0.5031666666666667,0.45749999999999996,0.33516666666666667,0.2648333333333333,30.21666666666667,73.85000000000001,52.38333333333335,61.36666666666667,10.833333333333334,4.983333333333333,16.45,100.0,99.51666666666667,98.41666666666667,94.5,240.0,38.333333333333336,78.66666666666667,8.833333333333334,22.0,16.333333333333332,21.166666666666668,8.666666666666666,31.5,23.666666666666668,7.333333333333333,5.0,13.833333333333334,18.666666666666668,0.5781666666666666,0.5413333333333333,0.2793333333333333,0.2673333333333333,22.633333333333336,72.35,49.46666666666667,61.199999999999996,7.983333333333334,8.166666666666666,13.666666666666666,100.0,110.53333333333335,106.11666666666667,101.83333333333333,0,0
2012-2013,2012-11-12,PHOENIX SUNS,240.0,37.833333333333336,88.66666666666667,6.0,18.5,16.666666666666668,23.166666666666668,14.333333333333334,29.666666666666668,20.166666666666668,8.666666666666666,7.166666666666667,13.0,20.666666666666668,0.4965,0.4606666666666667,0.20866666666666664,0.2638333333333333,30.48333333333333,73.66666666666667,50.0,53.11666666666667,9.1,10.733333333333333,11.583333333333334,100.0,103.75,111.76666666666667,98.33333333333333,248.33333333333334,40.333333333333336,93.0,6.666666666666667,22.666666666666668,15.666666666666666,23.666666666666668,17.666666666666668,34.166666666666664,22.333333333333332,8.0,7.5,14.833333333333334,18.833333333333332,0.5003333333333333,0.47150000000000003,0.24566666666666667,0.25633333333333336,36.38333333333333,75.18333333333334,55.13333333333335,56.71666666666667,8.266666666666667,11.533333333333333,12.616666666666665,100.0,107.06666666666666,102.36666666666666,103.0,0,1
2012-2013,2012-11-12,TORONTO RAPTORS,240.0,34.333333333333336,84.5,7.833333333333333,22.333333333333332,18.166666666666668,22.166666666666668,11.0,27.0,19.333333333333332,8.833333333333334,3.8333333333333335,12.0,24.333333333333332,0.5023333333333334,0.45333333333333337,0.26633333333333337,0.2645,24.383333333333336,74.01666666666667,46.599999999999994,56.666666666666664,9.516666666666667,6.383333333333333,11.25,100.0,102.3,106.48333333333333,94.66666666666667,240.0,36.666666666666664,83.33333333333333,5.166666666666667,18.333333333333332,13.666666666666666,18.5,11.5,30.5,19.666666666666668,7.666666666666667,7.833333333333333,15.166666666666666,22.333333333333332,0.5051666666666667,0.4726666666666666,0.21883333333333332,0.22483333333333333,26.283333333333335,72.0,48.900000000000006,53.849999999999994,8.350000000000001,11.75,14.233333333333334,100.0,99.83333333333333,103.08333333333333,92.16666666666667,0,0
