season,date,home_team,minutes_played_home,made_field_goals_home,attempted_field_goals_home,made_three_point_field_goals_home,attempted_three_point_field_goals_home,made_free_throws_home,attempted_free_throws_home,offensive_rebounds_home,defensive_rebounds_home,assists_home,steals_home,blocks_home,turnovers_home,personal_fouls_home,true_shooting_percentage_home,effective_field_goal_percentage_home,3_point_attempt_rate_home,free_throw_attempt_rate_home,offensive_rebound_percentage_home,defensive_rebound_percentage_home,total_rebound_percentage_home,assist_percentage_home,steal_percentage_home,block_percentage_home,turnover_percentage_home,useage_percentage_home,offensive_rating_home,defensive_rating_home,minutes_played_away,made_field_goals_away,attempted_field_goals_away,made_three_point_field_goals_away,attempted_three_point_field_goals_away,made_free_throws_away,attempted_free_throws_away,offensive_rebounds_away,defensive_rebounds_away,assists_away,steals_away,blocks_away,turnovers_away,personal_fouls_away,true_shooting_percentage_away,effective_field_goal_percentage_away,3_point_attempt_rate_away,free_throw_attempt_rate_away,offensive_rebound_percentage_away,defensive_rebound_percentage_away,total_rebound_percentage_away,assist_percentage_away,steal_percentage_away,block_percentage_away,turnover_percentage_away,useage_percentage_away,offensive_rating_away,defensive_rating_away,during_playoffs,home_won
2014-2015,2014-11-08,INDIANA PACERS,244.16666666666666,34.833333333333336,82.0,7.833333333333333,24.666666666666668,15.333333333333334,20.0,13.166666666666666,34.5,20.0,4.0,7.5,16.833333333333332,21.0,0.512,0.4736666666666667,0.302,0.24549999999999997,29.983333333333334,79.68333333333332,54.38333333333333,57.91666666666666,4.366666666666666,11.883333333333333,15.66666666666667,100.0,100.8,104.05000000000001,244.16666666666666,36.333333333333336,80.33333333333333,5.833333333333333,16.5,19.166666666666668,26.166666666666668,8.666666666666666,31.5,23.166666666666668,9.5,3.8333333333333335,13.666666666666666,23.666666666666668,0.5348333333333334,0.49266666666666664,0.20583333333333334,0.329,20.466666666666665,73.7,47.48333333333334,63.76666666666666,9.966666666666667,6.366666666666667,12.983333333333333,100.0,103.13333333333333,102.48333333333333,0,0
2014-2015,2014-11-08,MILWAUKEE BUCKS,244.16666666666666,35.833333333333336,82.83333333333333,6.666666666666667,19.333333333333332,15.666666666666666,19.833333333333332,11.666666666666666,31.0,22.166666666666668,10.333333333333334,6.333333333333333,16.333333333333332,23.5,0.5148333333333334,0.4746666666666666,0.23416666666666666,0.24116666666666664,26.316666666666666,73.91666666666667,49.916666666666664,61.71666666666667,11.049999999999999,10.183333333333332,14.950000000000001,100.0,99.88333333333334,101.05000000000001,240.0,35.333333333333336,79.66666666666667,6.0,15.666666666666666,16.5,21.833333333333332,9.333333333333334,31.5,20.333333333333332,9.0,3.0,13.166666666666666,20.5,0.5211666666666668,0.48033333333333333,0.19683333333333333,0.2765,21.916666666666668,75.03333333333335,47.93333333333334,57.78333333333334,9.9,4.966666666666666,12.783333333333333,100.0,102.15000000000002,95.01666666666667,0,1
2014-2015,2014-11-09,DALLAS MAVERICKS,240.0,41.666666666666664,85.33333333333333,8.333333333333334,23.166666666666668,14.833333333333334,18.5,10.166666666666666,28.666666666666668,21.333333333333332,7.333333333333333,5.0,10.5,19.333333333333332,0.571,0.5388333333333334,0.27183333333333337,0.21816666666666665,24.78333333333333,68.65,46.56666666666667,50.65,8.166666666666666,9.133333333333333,10.049999999999999,100.0,116.28333333333332,110.86666666666667,240.0,36.166666666666664,77.16666666666667,8.5,23.166666666666668,20.833333333333332,27.5,9.5,29.166666666666668,22.666666666666668,8.666666666666666,2.8333333333333335,13.833333333333334,21.833333333333332,0.5695,0.5235,0.3015,0.36033333333333334,24.750000000000004,75.55,49.78333333333333,62.166666666666664,9.350000000000001,5.083333333333333,13.383333333333333,100.0,110.95,107.61666666666666,0,0
2014-2015,2014-11-09,OKLAHOMA CITY THUNDER,240.0,33.5,75.33333333333333,6.666666666666667,21.0,16.833333333333332,24.666666666666668,9.833333333333334,33.5,19.833333333333332,5.333333333333333,3.3333333333333335,16.833333333333332,22.833333333333332,0.5275000000000001,0.49150000000000005,0.2816666666666667,0.3353333333333334,25.666666666666668,74.76666666666667,52.6,59.86666666666667,5.866666666666667,5.95,16.450000000000003,100.0,100.14999999999999,110.35000000000001,248.33333333333334,34.5,79.16666666666667,3.8333333333333335,13.833333333333334,32.666666666666664,39.833333333333336,12.333333333333334,36.833333333333336,17.666666666666668,7.166666666666667,4.666666666666667,16.333333333333332,26.166666666666668,0.5459999999999999,0.46249999999999997,0.17516666666666666,0.5055,29.71666666666667,79.05,55.83333333333334,51.666666666666664,7.25,7.983333333333334,14.450000000000001,100.0,107.78333333333332,103.10000000000001,0,1
2014-2015,2014-11-09,TORONTO RAPTORS,240.0,36.0,83.33333333333333,6.666666666666667,22.0,26.666666666666668,34.5,11.333333333333334,28.333333333333332,18.333333333333332,7.833333333333333,4.666666666666667,9.333333333333334,23.333333333333332,0.5348333333333333,0.4721666666666667,0.2645,0.4163333333333334,24.95,70.51666666666667,46.166666666666664,51.416666666666664,8.450000000000001,8.700000000000001,8.666666666666666,100.0,113.76666666666665,104.96666666666668,240.0,35.0,80.66666666666667,8.166666666666666,24.0,16.0,24.833333333333332,10.0,28.666666666666668,22.5,9.833333333333334,6.333333333333333,16.666666666666668,22.5,0.518,0.48849999999999993,0.2996666666666667,0.311,22.099999999999998,69.03333333333335,45.666666666666664,64.03333333333335,10.216666666666667,10.783333333333331,15.566666666666668,100.0,98.03333333333335,108.09999999999998,0,1
2014-2015,2014-11-10,CHICAGO BULLS,244.16666666666666,37.5,79.5,9.0,21.166666666666668,20.333333333333332,27.166666666666668,9.333333333333334,31.333333333333332,23.0,5.0,7.0,14.333333333333334,20.833333333333332,0.5713333333333334,0.529,0.26666666666666666,0.3565,22.61666666666667,68.48333333333333,46.71666666666667,61.19999999999999,5.383333333333333,9.333333333333334,13.5,100.0,111.3,109.31666666666668,240.0,34.333333333333336,84.33333333333333,7.0,22.166666666666668,16.333333333333332,24.833333333333332,13.5,32.833333333333336,18.333333333333332,4.666666666666667,4.0,11.833333333333334,21.333333333333332,0.48466666666666675,0.451,0.2638333333333333,0.2996666666666667,28.799999999999997,75.28333333333332,51.4,53.51666666666667,5.2,6.45,11.066666666666665,100.0,102.25,106.45,0,1
2014-2015,2014-11-10,INDIANA PACERS,244.16666666666666,34.0,81.33333333333333,7.833333333333333,24.5,14.833333333333334,19.5,12.166666666666666,33.5,18.166666666666668,4.0,5.833333333333333,17.0,21.0,0.5051666666666667,0.4673333333333333,0.30250000000000005,0.24200000000000002,27.33333333333333,79.55,52.61666666666667,53.81666666666667,4.366666666666667,9.416666666666666,15.933333333333335,100.0,98.58333333333333,105.21666666666668,240.0,35.833333333333336,77.5,8.833333333333334,25.333333333333332,19.833333333333332,25.166666666666668,11.333333333333334,32.0,21.666666666666668,5.666666666666667,4.0,15.0,19.5,0.5655,0.5186666666666667,0.32683333333333336,0.3258333333333333,28.099999999999998,76.03333333333332,52.66666666666666,60.96666666666667,6.1499999999999995,6.783333333333332,14.600000000000001,100.0,110.33333333333333,114.0,0,1
2014-2015,2014-11-11,DALLAS MAVERICKS,240.0,41.166666666666664,86.16666666666667,8.5,24.5,15.0,19.333333333333332,11.166666666666666,29.0,22.166666666666668,7.166666666666667,5.666666666666667,11.0,18.5,0.5599999999999999,0.5285000000000001,0.2851666666666667,0.22566666666666665,26.150000000000002,70.08333333333334,47.46666666666666,53.68333333333333,7.8999999999999995,10.15,10.350000000000001,100.0,114.76666666666667,110.83333333333336,248.33333333333334,36.5,79.5,4.333333333333333,14.833333333333334,30.833333333333332,37.666666666666664,11.333333333333334,35.666666666666664,19.333333333333332,7.166666666666667,4.5,13.666666666666666,25.833333333333332,0.5638333333333333,0.48933333333333334,0.18666666666666668,0.4764999999999999,28.866666666666664,77.13333333333334,54.98333333333333,53.28333333333333,7.516666666666667,7.483333333333333,12.483333333333334,100.0,112.61666666666667,106.48333333333335,0,1
2014-2015,2014-11-11,GOLDEN STATE WARRIORS,240.0,38.333333333333336,78.16666666666667,9.666666666666666,24.333333333333332,18.833333333333332,23.166666666666668,8.0,34.833333333333336,23.333333333333332,10.0,6.166666666666667,22.333333333333332,23.5,0.597,0.5535,0.3133333333333333,0.2986666666666667,20.933333333333334,73.25,50.23333333333333,60.36666666666667,9.950000000000001,11.133333333333333,20.200000000000003,100.0,104.55000000000001,94.28333333333335,240.0,33.333333333333336,78.33333333333333,6.0,21.166666666666668,19.5,25.333333333333332,10.666666666666666,33.0,20.0,7.0,4.5,15.166666666666666,19.666666666666668,0.5206666666666667,0.47066666666666673,0.2738333333333334,0.329,26.0,78.96666666666665,52.6,60.400000000000006,7.599999999999999,7.300000000000001,14.549999999999999,100.0,100.88333333333333,103.56666666666666,0,0
2014-2015,2014-11-11,MEMPHIS GRIZZLIES,240.0,33.0,79.66666666666667,5.833333333333333,15.5,19.166666666666668,24.166666666666668,10.166666666666666,31.833333333333332,19.333333333333332,8.833333333333334,2.5,12.5,20.0,0.5038333333333335,0.45083333333333336,0.1948333333333333,0.305,23.483333333333338,76.06666666666666,49.083333333333336,58.26666666666667,9.866666666666667,4.316666666666666,12.116666666666665,100.0,101.21666666666665,94.98333333333333,240.0,37.5,84.16666666666667,5.0,15.0,22.833333333333332,30.0,12.5,27.166666666666668,20.833333333333332,7.5,3.5,13.833333333333334,26.666666666666668,0.5291666666666667,0.4751666666666667,0.17833333333333334,0.35733333333333334,27.650000000000002,71.10000000000001,48.15,55.31666666666666,7.883333333333333,6.2,12.350000000000001,100.0,108.06666666666665,118.14999999999999,0,1
