true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.559,0.513,0.09,0.462,39.5,81.8,62.2,47.4,9.1,11.1,19.0,100.0,105.7,94.7
0.494,0.433,0.341,0.366,18.2,60.5,37.8,74.2,10.1,0.0,15.2,100.0,94.7,105.7
0.537,0.506,0.284,0.469,29.5,63.8,47.3,59.5,10.0,13.1,9.3,100.0,116.3,95.3
0.465,0.421,0.256,0.293,36.2,70.5,52.7,53.1,4.4,13.8,14.7,100.0,95.3,116.3
0.462,0.444,0.169,0.157,34.8,67.6,49.4,58.3,15.9,6.7,12.8,100.0,100.0,98.9
0.513,0.5,0.211,0.263,32.4,65.2,50.6,61.1,6.8,10.8,16.7,100.0,98.9,100.0
0.58,0.526,0.066,0.408,36.1,77.8,56.9,71.8,7.5,9.3,16.7,100.0,111.6,113.7
0.596,0.534,0.27,0.459,22.2,63.9,43.1,48.6,9.7,15.5,15.2,100.0,113.7,111.6
0.481,0.42,0.346,0.321,28.0,81.6,51.1,60.0,7.6,7.5,16.3,100.0,96.2,104.8
0.581,0.542,0.264,0.361,18.4,72.0,48.9,61.8,8.6,9.4,16.1,100.0,104.8,96.2
0.505,0.452,0.274,0.274,17.8,67.4,42.9,61.8,6.3,3.0,11.3,100.0,100.3,101.4
0.504,0.465,0.221,0.244,32.6,82.2,57.1,71.1,3.2,9.8,14.4,100.0,101.4,100.3
0.614,0.589,0.266,0.165,33.3,69.4,54.9,83.3,4.7,13.8,12.4,100.0,122.5,113.1
0.493,0.447,0.235,0.329,30.6,66.7,45.1,60.0,8.2,1.7,6.7,100.0,113.1,122.5
0.612,0.557,0.342,0.43,23.8,88.1,56.0,46.2,15.2,6.1,13.8,100.0,116.4,94.1
0.529,0.474,0.355,0.355,11.9,76.2,44.0,59.4,11.1,5.8,17.8,100.0,94.1,116.4
0.496,0.463,0.293,0.268,32.6,82.5,56.6,47.1,3.2,4.8,17.9,100.0,98.0,106.6
0.546,0.494,0.195,0.403,17.5,67.4,43.4,61.1,17.2,8.6,9.9,100.0,106.6,98.0
0.469,0.407,0.253,0.28,20.5,63.3,43.0,63.0,5.7,11.1,16.0,100.0,90.7,104.4
0.464,0.408,0.172,0.287,36.7,79.5,57.0,62.5,10.3,16.1,9.3,100.0,104.4,90.7
0.567,0.481,0.205,0.397,21.1,77.3,51.2,51.4,6.1,7.7,15.6,100.0,106.4,102.3
0.508,0.466,0.253,0.299,22.7,78.9,48.8,56.4,4.1,3.2,10.9,100.0,102.3,106.4
0.523,0.476,0.329,0.244,27.5,83.3,53.9,72.2,4.5,8.2,9.0,100.0,107.6,117.8
0.595,0.584,0.265,0.12,16.7,72.5,46.1,43.2,1.1,7.3,11.2,100.0,117.8,107.6
0.482,0.456,0.203,0.266,26.7,74.5,51.1,28.6,10.2,8.9,12.8,100.0,96.0,94.9
0.47,0.426,0.309,0.235,25.5,73.3,48.9,71.9,10.2,4.8,13.5,100.0,94.9,96.0
