true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
0.493,0.448,0.302,0.271,41.1,83.7,59.6,62.2,5.2,5.5,12.3,100.0,111.2,98.6
0.53,0.5,0.329,0.183,16.3,58.9,40.4,59.5,9.4,6.0,14.5,100.0,98.6,111.2
0.468,0.452,0.309,0.181,21.6,84.8,51.5,68.4,5.0,10.3,9.0,100.0,95.5,97.5
0.499,0.466,0.218,0.264,15.2,78.4,48.5,35.1,6.0,15.4,11.8,100.0,97.5,95.5
0.501,0.458,0.217,0.325,18.6,54.3,37.1,60.0,9.0,4.5,15.9,100.0,94.9,110.9
0.525,0.474,0.313,0.229,45.7,81.4,62.9,70.7,8.0,10.8,15.9,100.0,110.9,94.9
0.51,0.452,0.265,0.277,31.1,76.2,52.9,35.3,11.1,9.8,19.1,100.0,95.5,112.6
0.578,0.506,0.282,0.318,23.8,68.9,47.1,79.5,10.1,11.5,14.9,100.0,112.6,95.5
0.662,0.628,0.359,0.256,14.7,68.0,46.4,47.6,9.1,3.6,18.0,100.0,116.1,101.0
0.475,0.419,0.097,0.301,32.0,85.3,53.6,48.7,11.1,10.0,11.0,100.0,101.0,116.1
0.516,0.48,0.16,0.28,10.3,81.0,46.9,42.9,4.5,9.1,12.5,100.0,96.9,102.4
0.517,0.453,0.257,0.459,19.0,89.7,53.1,53.3,2.2,6.3,10.1,100.0,102.4,96.9
0.604,0.589,0.342,0.228,23.7,72.7,52.7,65.0,9.3,19.2,19.5,100.0,108.2,87.6
0.432,0.391,0.402,0.299,27.3,76.3,47.3,56.7,13.4,15.4,14.0,100.0,87.6,108.2
0.564,0.488,0.241,0.446,14.3,73.3,44.8,63.2,3.0,7.1,7.5,100.0,111.9,110.9
0.527,0.439,0.378,0.389,26.7,85.7,55.2,51.4,2.0,6.3,11.0,100.0,110.9,111.9
0.579,0.565,0.345,0.202,29.3,79.2,57.4,70.7,7.3,3.0,17.2,100.0,110.8,79.4
0.414,0.366,0.195,0.268,20.8,70.7,42.6,51.7,8.4,5.5,14.9,100.0,79.4,110.8
0.486,0.429,0.286,0.345,22.0,94.1,51.2,48.5,4.4,1.9,7.6,100.0,102.4,113.2
0.632,0.575,0.274,0.288,5.9,78.0,48.8,63.9,5.4,11.7,13.6,100.0,113.2,102.4
0.563,0.5,0.247,0.376,39.6,62.5,51.0,57.1,11.6,10.3,9.2,100.0,128.2,101.9
0.487,0.401,0.209,0.36,37.5,60.4,49.0,56.7,7.4,5.7,15.3,100.0,101.9,128.2
0.537,0.511,0.161,0.14,17.1,72.5,44.4,48.9,10.8,13.4,11.6,100.0,104.3,110.2
0.585,0.529,0.221,0.256,27.5,82.9,55.6,50.0,6.9,5.1,16.6,100.0,110.2,104.3
0.463,0.435,0.333,0.298,27.8,66.7,46.7,51.5,8.3,12.2,15.2,100.0,91.6,90.5
0.413,0.395,0.26,0.12,33.3,72.2,53.3,54.1,9.4,10.7,11.7,100.0,90.5,91.6
0.563,0.529,0.247,0.365,13.0,76.4,47.5,60.0,6.9,4.8,7.5,100.0,108.9,93.2
0.468,0.425,0.276,0.379,23.6,87.0,52.5,44.1,2.9,4.7,15.1,100.0,93.2,108.9
0.475,0.456,0.363,0.198,10.0,85.0,43.3,52.8,6.9,3.6,10.0,100.0,93.1,111.0
0.595,0.568,0.364,0.159,15.0,90.0,56.7,50.0,6.9,6.9,11.3,100.0,111.0,93.1
0.593,0.563,0.238,0.388,14.0,75.0,46.2,47.6,7.8,12.9,13.8,100.0,108.4,101.6
0.51,0.495,0.255,0.191,25.0,86.0,53.8,58.5,7.8,4.9,13.6,100.0,101.6,108.4
0.497,0.424,0.267,0.36,16.3,78.0,44.4,71.9,13.5,4.8,11.5,100.0,95.5,102.3
0.545,0.494,0.225,0.488,22.0,83.7,55.6,52.8,7.7,3.2,17.1,100.0,102.3,95.5
0.591,0.543,0.195,0.354,30.0,75.0,52.5,63.4,12.6,10.4,12.9,100.0,117.2,107.8
0.582,0.551,0.385,0.308,25.0,70.0,47.5,62.2,7.3,6.1,18.4,100.0,107.8,117.2
0.425,0.392,0.309,0.155,23.7,83.7,50.9,62.9,4.0,3.6,10.4,100.0,88.5,104.6
0.512,0.483,0.356,0.379,16.3,76.3,49.1,55.3,6.0,11.9,7.3,100.0,104.6,88.5
0.593,0.566,0.289,0.313,17.9,66.7,44.8,61.9,10.8,6.3,13.7,100.0,110.2,99.4
0.494,0.441,0.312,0.226,33.3,82.1,55.2,55.3,9.8,6.8,17.0,100.0,99.4,110.2
0.501,0.477,0.341,0.148,26.0,83.7,54.5,63.9,7.2,10.0,16.1,100.0,96.3,99.3
0.523,0.482,0.277,0.265,16.3,74.0,45.5,63.9,9.2,6.9,13.9,100.0,99.3,96.3
0.58,0.506,0.317,0.427,22.5,86.3,58.2,63.9,10.2,5.1,17.7,100.0,104.4,95.1
0.5,0.418,0.306,0.482,13.7,77.5,41.8,71.9,12.9,5.4,14.2,100.0,95.1,104.4
0.531,0.468,0.273,0.286,14.6,69.6,43.7,63.6,5.5,11.5,13.0,100.0,101.1,112.1
0.535,0.488,0.291,0.244,30.4,85.4,56.3,64.1,4.4,7.1,10.4,100.0,112.1,101.1
0.533,0.437,0.155,0.577,17.1,71.2,49.0,60.0,7.2,8.6,16.0,100.0,98.2,80.6
0.376,0.332,0.263,0.211,28.8,82.9,51.0,51.7,7.2,6.7,11.9,100.0,80.6,98.2
0.492,0.446,0.262,0.31,16.3,67.7,45.0,52.9,7.6,10.5,16.6,100.0,88.9,92.7
0.421,0.404,0.269,0.269,32.3,83.7,55.0,46.2,8.5,3.2,10.7,100.0,92.7,88.9
0.538,0.511,0.28,0.269,22.9,75.0,49.0,60.5,9.1,6.8,7.1,100.0,113.6,93.3
0.47,0.396,0.28,0.439,25.0,77.1,51.0,63.3,3.0,13.4,14.1,100.0,93.3,113.6
0.675,0.603,0.309,0.647,23.5,82.9,53.6,71.4,7.0,8.6,19.4,100.0,117.9,112.9
0.599,0.555,0.293,0.341,17.1,76.5,46.4,78.6,9.0,4.3,14.5,100.0,112.9,117.9
0.548,0.491,0.245,0.345,38.6,74.1,55.9,38.0,6.6,12.3,13.6,100.0,115.2,112.7
0.554,0.5,0.311,0.358,25.9,61.4,44.1,53.2,8.3,12.0,11.5,100.0,112.7,115.2
0.5,0.449,0.148,0.284,29.5,82.6,56.7,52.8,11.4,18.8,6.6,100.0,112.4,80.6
0.448,0.349,0.238,0.587,17.4,70.5,43.3,78.9,4.5,6.7,18.5,100.0,80.6,112.4
0.487,0.448,0.279,0.221,20.0,73.8,43.3,50.0,8.5,7.7,19.6,100.0,87.0,104.1
0.542,0.47,0.217,0.506,26.2,80.0,56.7,45.9,12.3,11.3,15.8,100.0,104.1,87.0
0.565,0.522,0.382,0.303,16.7,64.4,39.8,48.8,6.4,11.4,15.8,100.0,104.3,120.8
0.578,0.545,0.218,0.297,35.6,83.3,60.2,50.0,5.5,12.7,10.9,100.0,120.8,104.3
0.449,0.435,0.208,0.195,4.3,71.4,36.4,54.8,6.3,9.4,15.2,100.0,78.5,106.8
0.556,0.517,0.256,0.151,28.6,95.7,63.6,57.5,7.3,6.6,16.4,100.0,106.8,78.5
0.506,0.477,0.17,0.205,35.7,82.1,58.0,38.5,13.8,7.5,15.1,100.0,103.3,80.9
0.48,0.429,0.243,0.3,17.9,64.3,42.0,35.7,8.5,9.6,23.2,100.0,80.9,103.3
