team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
BOSTON CELTICS,2017-10-17,240,36,88,8,32,19,25,9,37,24,11,4,10,24
CLEVELAND CAVALIERS,2017-10-17,240,38,83,5,22,21,25,9,41,19,3,4,17,25
HOUSTON ROCKETS,2017-10-17,240,47,97,15,41,13,19,10,33,28,9,5,12,16
GOLDEN STATE WARRIORS,2017-10-17,240,43,80,16,30,19,21,6,35,34,5,9,17,25
MILWAUKEE BUCKS,2017-10-18,240,38,76,7,21,25,30,6,39,19,6,4,15,22
BOSTON CELTICS,2017-10-18,240,39,91,11,28,11,21,11,32,23,12,2,12,27
ATLANTA HAWKS,2017-10-18,240,48,94,9,18,12,15,14,36,20,11,6,13,18
DALLAS MAVERICKS,2017-10-18,240,38,86,17,45,18,21,9,32,27,5,4,15,19
CHARLOTTE HORNETS,2017-10-18,240,29,73,9,30,23,29,3,44,16,4,3,17,15
DETROIT PISTONS,2017-10-18,240,41,96,9,26,11,12,9,38,24,14,3,8,21
BROOKLYN NETS,2017-10-18,240,45,94,12,30,29,32,11,32,22,7,2,20,25
INDIANA PACERS,2017-10-18,240,53,102,9,34,25,32,14,33,29,12,9,14,25
NEW ORLEANS PELICANS,2017-10-18,240,30,79,7,25,24,29,16,35,15,4,12,17,31
MEMPHIS GRIZZLIES,2017-10-18,240,39,92,9,29,16,28,15,30,19,9,8,11,29
MIAMI HEAT,2017-10-18,240,44,101,8,30,13,17,11,33,27,6,4,13,20
ORLANDO MAGIC,2017-10-18,240,43,90,8,21,22,29,11,39,22,8,9,14,18
PORTLAND TRAIL BLAZERS,2017-10-18,240,44,90,14,24,22,28,15,42,22,8,7,16,20
PHOENIX SUNS,2017-10-18,240,28,89,7,27,13,18,10,23,10,9,8,16,22
HOUSTON ROCKETS,2017-10-18,240,33,83,12,45,27,29,12,32,19,7,3,14,14
SACRAMENTO KINGS,2017-10-18,240,42,88,8,23,8,10,9,33,19,5,4,17,20
MINNESOTA TIMBERWOLVES,2017-10-18,240,37,85,8,19,17,23,11,31,23,7,4,13,16
SAN ANTONIO SPURS,2017-10-18,240,41,89,8,21,17,19,12,38,22,8,11,11,18
DENVER NUGGETS,2017-10-18,240,36,77,13,27,11,12,7,31,21,4,3,20,18
UTAH JAZZ,2017-10-18,240,41,81,9,24,15,16,6,30,28,9,5,15,18
PHILADELPHIA 76ERS,2017-10-18,240,43,93,15,35,14,19,11,37,25,6,6,17,28
WASHINGTON WIZARDS,2017-10-18,240,42,97,6,22,30,38,16,36,21,8,10,9,20
LOS ANGELES CLIPPERS,2017-10-19,240,42,107,12,33,12,13,17,42,23,12,3,14,20
LOS ANGELES LAKERS,2017-10-19,240,37,91,4,16,14,23,12,40,21,8,7,19,15
NEW YORK KNICKS,2017-10-19,240,32,79,7,24,13,19,11,30,19,8,4,25,23
OKLAHOMA CITY THUNDER,2017-10-19,240,39,90,11,38,16,22,13,28,26,14,7,18,22
CHICAGO BULLS,2017-10-19,240,37,89,10,32,16,18,10,29,22,7,2,19,23
TORONTO RAPTORS,2017-10-19,240,39,83,13,29,26,28,13,36,26,10,4,17,19
ORLANDO MAGIC,2017-10-20,240,45,89,18,33,13,15,9,31,30,9,3,22,27
BROOKLYN NETS,2017-10-20,240,46,92,9,27,25,35,15,33,22,13,6,18,17
ATLANTA HAWKS,2017-10-20,240,36,95,7,30,12,14,6,32,19,11,4,13,29
CHARLOTTE HORNETS,2017-10-20,240,37,86,11,36,24,30,12,45,17,5,4,21,18
SACRAMENTO KINGS,2017-10-20,240,37,87,10,23,9,13,16,41,20,8,3,14,18
DALLAS MAVERICKS,2017-10-20,240,31,75,11,33,15,21,7,29,19,8,7,12,13
PORTLAND TRAIL BLAZERS,2017-10-20,240,46,95,9,19,13,17,11,40,19,5,6,9,26
INDIANA PACERS,2017-10-20,240,35,78,4,18,22,33,6,33,15,1,4,12,17
CLEVELAND CAVALIERS,2017-10-20,240,44,81,11,26,17,17,9,35,25,8,3,17,11
MILWAUKEE BUCKS,2017-10-20,240,38,82,11,35,10,12,8,22,23,9,2,14,17
UTAH JAZZ,2017-10-20,240,37,77,9,22,14,17,7,31,23,10,8,19,21
MINNESOTA TIMBERWOLVES,2017-10-20,240,36,81,7,22,21,26,10,34,17,11,2,15,17
GOLDEN STATE WARRIORS,2017-10-20,240,47,92,18,41,16,20,10,39,29,6,8,18,23
NEW ORLEANS PELICANS,2017-10-20,240,45,98,16,36,14,22,16,35,26,8,4,17,19
BOSTON CELTICS,2017-10-20,240,35,84,10,29,22,32,14,41,16,4,5,19,24
PHILADELPHIA 76ERS,2017-10-20,240,35,92,10,32,12,16,14,33,20,7,4,16,30
LOS ANGELES LAKERS,2017-10-20,240,48,93,12,26,24,33,5,37,22,8,3,18,31
PHOENIX SUNS,2017-10-20,240,45,92,14,29,26,38,10,40,17,8,9,19,25
DETROIT PISTONS,2017-10-20,240,43,87,10,23,15,20,10,23,19,12,1,19,32
WASHINGTON WIZARDS,2017-10-20,240,40,75,6,17,29,35,7,30,25,12,7,16,18
SAN ANTONIO SPURS,2017-10-21,240,38,93,1,12,10,16,14,38,25,8,3,11,14
CHICAGO BULLS,2017-10-21,240,31,82,8,28,7,9,8,40,18,3,5,19,15
ORLANDO MAGIC,2017-10-21,240,40,90,17,35,17,20,12,38,28,7,6,12,28
CLEVELAND CAVALIERS,2017-10-21,240,33,86,7,25,20,27,11,33,15,4,7,16,14
SACRAMENTO KINGS,2017-10-21,240,31,85,8,22,9,13,12,27,15,6,3,13,21
DENVER NUGGETS,2017-10-21,240,37,85,10,30,12,20,18,40,25,7,2,16,19
DALLAS MAVERICKS,2017-10-21,240,31,84,13,31,16,21,8,33,19,6,0,14,19
HOUSTON ROCKETS,2017-10-21,240,39,82,11,47,18,22,8,46,17,12,4,13,24
PHOENIX SUNS,2017-10-21,240,27,71,6,24,28,38,4,32,19,8,3,19,27
LOS ANGELES CLIPPERS,2017-10-21,240,48,88,12,26,22,30,10,42,26,12,2,12,32
GOLDEN STATE WARRIORS,2017-10-21,240,33,84,12,38,23,27,12,34,20,10,7,17,28
MEMPHIS GRIZZLIES,2017-10-21,240,36,77,10,27,29,37,6,34,20,8,4,14,25
INDIANA PACERS,2017-10-21,240,43,96,7,19,15,21,13,32,18,9,4,10,18
MIAMI HEAT,2017-10-21,240,45,87,14,34,8,14,6,39,24,6,11,14,19
PORTLAND TRAIL BLAZERS,2017-10-21,240,34,81,11,28,31,35,13,29,18,10,6,16,22
MILWAUKEE BUCKS,2017-10-21,240,42,80,7,18,22,30,7,28,22,9,8,14,23
DETROIT PISTONS,2017-10-21,240,44,91,9,30,14,15,15,28,21,5,2,12,25
NEW YORK KNICKS,2017-10-21,240,37,81,8,30,25,31,12,27,20,6,2,12,21
PHILADELPHIA 76ERS,2017-10-21,240,32,82,8,24,22,36,8,33,18,5,4,20,26
TORONTO RAPTORS,2017-10-21,240,42,89,13,44,31,37,8,43,23,5,10,13,29
OKLAHOMA CITY THUNDER,2017-10-21,240,32,78,11,33,12,19,8,30,15,14,4,17,16
UTAH JAZZ,2017-10-21,240,38,77,9,29,11,14,7,34,22,11,4,18,21
ATLANTA HAWKS,2017-10-22,240,32,94,7,27,33,36,16,32,21,6,2,16,25
BROOKLYN NETS,2017-10-22,240,41,87,11,27,23,34,13,38,27,12,8,18,27
NEW ORLEANS PELICANS,2017-10-22,240,47,83,10,32,15,21,6,36,26,14,5,18,20
