season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,during_playoffs
2007-2008,UTAH JAZZ,2007-10-30,240,41,90,5,11,30,36,16,40,24,9,7,19,26,0.5529999999999999,0.483,0.122,0.4,34.8,85.1,60.2,58.5,8.6,13.0,15.2,100.0,111.3,91.3,0
2007-2008,GOLDEN STATE WARRIORS,2007-10-30,240,32,77,6,23,26,38,7,30,19,8,9,20,28,0.512,0.455,0.299,0.494,14.9,65.2,39.8,59.4,7.6,11.4,17.6,100.0,91.3,111.3,0
2007-2008,HOUSTON ROCKETS,2007-10-30,240,34,74,6,22,21,31,12,37,23,10,5,18,30,0.542,0.5,0.297,0.419,31.6,77.1,57.0,67.6,10.7,7.4,17.0,100.0,102.1,99.9,0
2007-2008,LOS ANGELES LAKERS,2007-10-30,240,32,76,2,8,27,45,11,26,18,16,3,12,22,0.485,0.434,0.105,0.5920000000000001,22.9,68.4,43.0,56.3,17.2,5.8,11.1,100.0,99.9,102.1,0
2007-2008,PORTLAND TRAIL BLAZERS,2007-10-30,240,39,78,6,13,13,17,8,32,15,1,4,16,19,0.5670000000000001,0.5379999999999999,0.16699999999999998,0.218,22.2,72.7,50.0,38.5,1.1,6.3,15.8,100.0,105.7,115.5,0
2007-2008,SAN ANTONIO SPURS,2007-10-30,240,41,87,6,24,18,26,12,28,21,8,4,8,19,0.5379999999999999,0.506,0.276,0.299,27.3,77.8,50.0,51.2,8.7,6.2,7.5,100.0,115.5,105.7,0
2007-2008,DALLAS MAVERICKS,2007-10-31,240,33,69,9,18,17,20,5,31,23,6,8,16,17,0.591,0.5429999999999999,0.261,0.29,13.9,66.0,43.4,69.7,7.0,12.3,17.1,100.0,107.1,86.1,0
2007-2008,CLEVELAND CAVALIERS,2007-10-31,240,28,77,3,12,15,25,16,31,13,11,2,15,21,0.42,0.38299999999999995,0.156,0.325,34.0,86.1,56.6,46.4,12.8,3.9,14.6,100.0,86.1,107.1,0
2007-2008,SEATTLE SUPERSONICS,2007-10-31,240,40,96,7,17,16,27,14,38,27,9,5,19,27,0.47700000000000004,0.45299999999999996,0.177,0.281,27.5,74.5,51.0,67.5,8.3,7.8,15.0,100.0,95.4,111.1,0
2007-2008,DENVER NUGGETS,2007-10-31,240,42,91,11,27,25,35,13,37,31,11,10,15,21,0.564,0.522,0.297,0.385,25.5,72.5,49.0,73.8,10.2,12.7,12.4,100.0,111.1,95.4,0
2007-2008,WASHINGTON WIZARDS,2007-10-31,265,36,99,6,20,32,45,23,33,15,6,6,18,30,0.46299999999999997,0.39399999999999996,0.20199999999999999,0.455,35.4,70.2,50.0,41.7,5.5,9.5,13.2,100.0,101.2,109.5,0
2007-2008,INDIANA PACERS,2007-10-31,265,38,92,13,29,30,36,14,42,20,12,6,17,33,0.552,0.484,0.315,0.391,29.8,64.6,50.0,52.6,11.0,7.6,13.6,100.0,109.5,101.2,0
2007-2008,SAN ANTONIO SPURS,2007-10-31,240,38,87,12,23,16,22,7,35,23,8,5,9,17,0.5379999999999999,0.506,0.264,0.253,16.3,85.4,50.0,60.5,8.3,8.8,8.5,100.0,108.5,105.4,0
2007-2008,MEMPHIS GRIZZLIES,2007-10-31,240,38,80,10,23,15,20,6,36,21,5,6,14,19,0.569,0.5379999999999999,0.28800000000000003,0.25,14.6,83.7,50.0,55.3,5.2,9.4,13.6,100.0,105.4,108.5,0
2007-2008,CHICAGO BULLS,2007-10-31,265,38,96,8,23,19,26,19,26,23,7,3,16,30,0.479,0.43799999999999994,0.24,0.271,35.8,65.0,48.4,60.5,7.1,5.2,13.0,100.0,104.5,113.6,0
2007-2008,NEW JERSEY NETS,2007-10-31,265,33,82,9,24,37,41,14,34,24,9,7,17,31,0.56,0.457,0.293,0.5,35.0,64.2,51.6,72.7,9.1,9.6,14.5,100.0,113.6,104.5,0
2007-2008,SACRAMENTO KINGS,2007-10-31,240,36,81,3,10,15,18,8,26,21,5,3,15,27,0.506,0.46299999999999997,0.12300000000000001,0.222,19.5,70.3,43.6,58.3,5.4,5.4,14.4,100.0,96.7,111.8,0
2007-2008,NEW ORLEANS HORNETS,2007-10-31,240,39,77,10,21,16,21,11,33,23,6,7,19,24,0.603,0.5710000000000001,0.273,0.273,29.7,80.5,56.4,59.0,6.4,9.9,18.1,100.0,111.8,96.7,0
2007-2008,MILWAUKEE BUCKS,2007-10-31,240,33,87,4,17,13,22,18,30,16,4,4,14,28,0.429,0.402,0.195,0.253,35.3,76.9,53.3,48.5,4.5,7.8,12.6,100.0,94.2,115.7,0
2007-2008,ORLANDO MAGIC,2007-10-31,240,32,73,12,22,26,35,9,33,15,2,9,10,22,0.5770000000000001,0.521,0.301,0.479,23.1,64.7,46.7,46.9,2.3,12.9,10.2,100.0,115.7,94.2,0
