Season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
2009-2010,BOSTON CELTICS,2009-10-27,240,32,72,9,19,22,26,6,32,20,9,8,14,27,0.569,0.507,0.264,0.361,18.8,84.2,54.3,62.5,10.2,15.1,14.4,100.0,107.2,100.4
2009-2010,CLEVELAND CAVALIERS,2009-10-27,240,29,70,6,17,25,32,6,26,17,7,9,13,22,0.529,0.457,0.243,0.457,15.8,81.3,45.7,58.6,7.9,17.0,13.4,100.0,100.4,107.2
2009-2010,WASHINGTON WIZARDS,2009-10-27,240,39,84,4,13,20,24,9,37,19,6,4,9,29,0.539,0.488,0.155,0.28600000000000003,22.5,77.1,52.3,48.7,6.7,6.9,8.7,100.0,113.9,101.6
2009-2010,DALLAS MAVERICKS,2009-10-27,240,30,76,4,18,27,34,11,31,16,6,9,9,20,0.5,0.421,0.237,0.447,22.9,77.5,47.7,53.3,6.7,12.7,9.0,100.0,101.6,113.9
2009-2010,LOS ANGELES CLIPPERS,2009-10-27,240,39,87,3,15,11,16,15,36,27,10,4,20,27,0.489,0.466,0.172,0.184,33.3,67.9,52.0,69.2,10.3,5.9,17.5,100.0,94.4,101.6
2009-2010,LOS ANGELES LAKERS,2009-10-27,240,35,85,4,17,25,37,17,30,17,13,4,16,15,0.489,0.435,0.2,0.435,32.1,66.7,48.0,48.6,13.3,5.6,13.6,100.0,101.6,94.4
2009-2010,HOUSTON ROCKETS,2009-10-27,240,30,81,5,18,22,29,10,23,18,12,2,16,26,0.464,0.401,0.222,0.358,20.4,65.7,39.3,60.0,12.4,3.6,14.6,100.0,90.1,99.4
2009-2010,PORTLAND TRAIL BLAZERS,2009-10-27,240,33,77,10,21,20,22,12,39,23,9,12,26,27,0.5539999999999999,0.494,0.273,0.28600000000000003,34.3,79.6,60.7,69.7,9.3,19.0,23.1,100.0,99.4,90.1
2009-2010,INDIANA PACERS,2009-10-28,240,39,73,10,18,21,25,6,34,23,1,4,25,26,0.649,0.603,0.247,0.342,18.2,81.0,53.3,59.0,1.0,5.3,22.9,100.0,108.1,119.0
2009-2010,ATLANTA HAWKS,2009-10-28,240,46,87,7,12,21,29,8,27,30,16,6,10,25,0.601,0.569,0.138,0.333,19.0,81.8,46.7,65.2,15.9,10.9,9.1,100.0,119.0,108.1
2009-2010,CHARLOTTE BOBCATS,2009-10-28,240,23,74,0,10,13,25,14,32,10,6,4,18,23,0.34700000000000003,0.311,0.135,0.338,29.2,76.2,51.1,43.5,7.0,8.5,17.5,100.0,69.1,107.8
2009-2010,BOSTON CELTICS,2009-10-28,240,33,76,11,29,15,19,10,34,28,10,8,12,22,0.545,0.507,0.382,0.25,23.8,70.8,48.9,84.8,11.7,12.5,12.5,100.0,107.8,69.1
2009-2010,UTAH JAZZ,2009-10-28,240,37,81,6,10,25,29,10,29,26,3,4,15,20,0.56,0.494,0.123,0.358,26.3,67.4,48.1,70.3,3.1,5.3,13.8,100.0,108.7,118.0
2009-2010,DENVER NUGGETS,2009-10-28,240,43,89,5,13,23,30,14,28,22,5,6,13,25,0.5579999999999999,0.511,0.146,0.337,32.6,73.7,51.9,51.2,5.2,8.5,11.3,100.0,118.0,108.7
2009-2010,HOUSTON ROCKETS,2009-10-28,240,40,86,12,26,16,20,13,28,30,14,7,18,22,0.57,0.535,0.302,0.233,31.7,68.3,50.0,75.0,14.3,9.0,16.0,100.0,110.6,109.6
2009-2010,GOLDEN STATE WARRIORS,2009-10-28,240,44,89,4,11,15,23,13,28,25,7,8,16,22,0.54,0.517,0.124,0.258,31.7,68.3,50.0,56.8,7.2,13.3,13.9,100.0,109.6,110.6
2009-2010,PHOENIX SUNS,2009-10-28,240,41,80,7,15,20,27,10,26,19,6,5,14,20,0.593,0.556,0.188,0.338,26.3,78.8,50.7,46.3,6.4,7.8,13.2,100.0,115.4,113.3
2009-2010,LOS ANGELES CLIPPERS,2009-10-28,240,43,77,6,13,15,27,7,28,27,9,7,15,24,0.602,0.597,0.16899999999999998,0.35100000000000003,21.2,73.7,49.3,62.8,9.5,10.8,14.4,100.0,113.3,115.4
2009-2010,DETROIT PISTONS,2009-10-28,240,37,72,6,16,16,29,10,29,20,5,4,9,27,0.5660000000000001,0.556,0.222,0.403,23.8,63.0,44.3,54.1,6.1,6.7,9.6,100.0,117.1,90.3
2009-2010,MEMPHIS GRIZZLIES,2009-10-28,240,26,72,2,12,20,31,17,32,10,3,3,14,26,0.4320000000000001,0.375,0.16699999999999998,0.431,37.0,76.2,55.7,38.5,3.7,5.4,14.1,100.0,90.3,117.1
2009-2010,NEW YORK KNICKS,2009-10-28,240,33,87,10,39,17,21,12,27,19,8,3,13,17,0.483,0.4370000000000001,0.448,0.241,25.0,79.4,47.6,57.6,8.3,4.4,11.9,100.0,97.0,119.9
2009-2010,MIAMI HEAT,2009-10-28,240,47,83,7,15,14,17,7,36,21,6,3,16,20,0.635,0.608,0.181,0.205,20.6,75.0,52.4,44.7,6.3,6.3,15.0,100.0,119.9,97.0
2009-2010,NEW JERSEY NETS,2009-10-28,240,34,81,0,8,25,29,14,38,20,4,10,22,24,0.496,0.42,0.099,0.358,30.4,67.9,51.0,58.8,4.1,11.6,19.0,100.0,94.9,96.9
2009-2010,MINNESOTA TIMBERWOLVES,2009-10-28,240,34,93,1,7,26,35,18,32,14,15,2,10,23,0.438,0.371,0.075,0.376,32.1,69.6,49.0,41.2,15.3,2.7,8.4,100.0,96.9,94.9
2009-2010,SACRAMENTO KINGS,2009-10-28,240,32,79,3,16,22,28,10,27,13,6,5,12,23,0.487,0.424,0.203,0.354,23.3,77.1,47.4,40.6,6.8,8.1,11.6,100.0,100.3,115.0
2009-2010,OKLAHOMA CITY THUNDER,2009-10-28,240,39,76,8,14,16,20,8,33,20,4,6,12,19,0.601,0.5660000000000001,0.184,0.263,22.9,76.7,52.6,51.3,4.5,9.5,12.4,100.0,115.0,100.3
2009-2010,PHILADELPHIA 76ERS,2009-10-28,240,39,78,7,18,21,30,8,26,19,9,6,13,21,0.581,0.545,0.231,0.385,21.6,76.5,47.9,48.7,9.6,11.5,12.5,100.0,112.9,127.9
2009-2010,ORLANDO MAGIC,2009-10-28,240,45,81,16,29,14,17,8,29,28,5,6,15,21,0.6779999999999999,0.654,0.358,0.21,23.5,78.4,52.1,62.2,5.3,10.0,14.5,100.0,127.9,112.9
2009-2010,NEW ORLEANS HORNETS,2009-10-28,240,39,78,5,10,13,22,5,28,17,5,4,10,19,0.547,0.532,0.128,0.282,13.9,71.8,44.0,43.6,5.5,6.5,10.2,100.0,105.1,123.7
2009-2010,SAN ANTONIO SPURS,2009-10-28,240,45,86,9,24,14,20,11,31,29,4,0,10,22,0.596,0.5760000000000001,0.279,0.233,28.2,86.1,56.0,64.4,4.4,0.0,9.5,100.0,123.7,105.1
2009-2010,CLEVELAND CAVALIERS,2009-10-28,240,29,83,9,22,24,37,13,36,19,4,2,14,27,0.458,0.404,0.265,0.446,24.1,83.7,50.5,65.5,4.1,3.4,12.4,100.0,94.0,104.4
2009-2010,TORONTO RAPTORS,2009-10-28,240,34,75,5,16,28,37,7,41,23,4,6,13,30,0.5529999999999999,0.487,0.213,0.493,16.3,75.9,49.5,67.6,4.1,9.8,12.5,100.0,104.4,94.0
2009-2010,SAN ANTONIO SPURS,2009-10-29,240,33,78,4,21,15,23,8,36,15,5,5,13,23,0.482,0.449,0.269,0.295,17.8,70.6,45.8,45.5,5.5,7.4,12.9,100.0,94.2,102.0
2009-2010,CHICAGO BULLS,2009-10-29,240,35,84,3,16,19,28,15,37,20,5,9,9,20,0.478,0.435,0.19,0.333,29.4,82.2,54.2,57.1,5.5,15.8,8.5,100.0,102.0,94.2
2009-2010,DENVER NUGGETS,2009-10-29,240,28,61,3,11,38,49,5,31,11,6,3,8,30,0.5870000000000001,0.484,0.18,0.8029999999999999,14.3,68.9,45.0,39.3,7.0,4.8,8.8,100.0,113.9,110.4
2009-2010,PORTLAND TRAIL BLAZERS,2009-10-29,240,28,81,5,19,33,41,14,30,16,4,5,7,30,0.475,0.377,0.235,0.506,31.1,85.7,55.0,57.1,4.7,10.0,6.6,100.0,110.4,113.9
2009-2010,WASHINGTON WIZARDS,2009-10-30,240,35,79,5,13,14,22,8,32,19,5,5,14,23,0.502,0.475,0.165,0.278,18.2,74.4,46.0,54.3,5.4,8.6,13.6,100.0,96.6,108.5
2009-2010,ATLANTA HAWKS,2009-10-30,240,32,78,5,20,31,34,11,36,18,5,7,12,24,0.5379999999999999,0.442,0.256,0.436,25.6,81.8,54.0,56.3,5.4,10.6,11.4,100.0,108.5,96.6
2009-2010,CHICAGO BULLS,2009-10-30,240,34,82,2,15,20,27,16,20,19,6,3,15,27,0.479,0.4270000000000001,0.183,0.329,33.3,66.7,46.2,55.9,6.7,6.0,13.8,100.0,100.4,131.7
2009-2010,BOSTON CELTICS,2009-10-30,240,43,74,12,24,20,24,10,32,33,7,5,16,22,0.698,0.662,0.324,0.324,33.3,66.7,53.8,76.7,7.8,7.5,15.9,100.0,131.7,100.4
2009-2010,NEW YORK KNICKS,2009-10-30,290,38,98,9,36,15,18,10,40,20,5,7,17,28,0.472,0.434,0.3670000000000001,0.184,18.9,76.9,47.6,52.6,4.6,9.5,13.8,100.0,92.0,93.8
2009-2010,CHARLOTTE BOBCATS,2009-10-30,290,35,92,3,18,29,36,12,43,18,8,6,15,19,0.473,0.397,0.196,0.391,23.1,81.1,52.4,51.4,7.4,9.7,12.2,100.0,93.8,92.0
2009-2010,OKLAHOMA CITY THUNDER,2009-10-30,240,33,76,2,11,23,30,9,36,23,6,5,11,28,0.51,0.447,0.145,0.395,20.9,80.0,51.1,69.7,6.7,9.4,11.0,100.0,101.9,93.0
2009-2010,DETROIT PISTONS,2009-10-30,240,26,70,5,17,26,34,9,34,12,6,5,15,27,0.488,0.407,0.243,0.486,20.0,79.1,48.9,46.2,6.7,7.7,15.0,100.0,93.0,101.9
2009-2010,MIAMI HEAT,2009-10-30,240,30,69,1,7,35,46,13,32,16,7,3,15,23,0.5379999999999999,0.442,0.101,0.667,32.5,72.7,53.6,53.3,7.9,5.4,14.4,100.0,108.1,93.4
