season,team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,points,during_playoffs
2011-2012,MIAMI HEAT,2011-12-25,240,38,78,4,7,25,36,15,36,18,9,6,22,28,0.5589999999999999,0.513,0.09,0.462,39.5,81.8,62.2,47.4,9.1,11.1,19.0,100.0,105.7,94.7,105,0
2011-2012,DALLAS MAVERICKS,2011-12-25,240,31,82,9,28,23,30,8,23,23,10,0,17,29,0.494,0.433,0.341,0.366,18.2,60.5,37.8,74.2,10.1,0.0,15.2,100.0,94.7,105.7,94,0
2011-2012,LOS ANGELES CLIPPERS,2011-12-25,240,37,81,8,23,23,38,13,30,22,9,8,10,19,0.537,0.506,0.284,0.469,29.5,63.8,47.3,59.5,10.0,13.1,9.3,100.0,116.3,95.3,105,0
2011-2012,GOLDEN STATE WARRIORS,2011-12-25,240,32,82,5,21,17,24,17,31,17,4,8,16,32,0.465,0.421,0.256,0.293,36.2,70.5,52.7,53.1,4.4,13.8,14.7,100.0,95.3,116.3,86,0
2011-2012,CHICAGO BULLS,2011-12-25,240,36,89,7,15,9,14,16,25,21,14,4,14,21,0.462,0.444,0.16899999999999998,0.157,34.8,67.6,49.4,58.3,15.9,6.7,12.8,100.0,100.0,98.9,88,0
2011-2012,LOS ANGELES LAKERS,2011-12-25,240,36,76,4,16,11,20,12,30,22,6,8,17,20,0.513,0.5,0.211,0.263,32.4,65.2,50.6,61.1,6.8,10.8,16.7,100.0,98.9,100.0,87,0
2011-2012,BOSTON CELTICS,2011-12-25,240,39,76,2,5,24,31,13,28,28,7,5,18,28,0.58,0.526,0.066,0.408,36.1,77.8,56.9,71.8,7.5,9.3,16.7,100.0,111.6,113.7,104,0
2011-2012,NEW YORK KNICKS,2011-12-25,240,35,74,9,20,27,34,8,23,17,9,11,16,25,0.596,0.534,0.27,0.459,22.2,63.9,43.1,48.6,9.7,15.5,15.2,100.0,113.7,111.6,106,0
2011-2012,ORLANDO MAGIC,2011-12-25,240,30,81,8,28,21,26,14,31,18,7,4,18,25,0.481,0.42,0.34600000000000003,0.321,28.0,81.6,51.1,60.0,7.6,7.5,16.3,100.0,96.2,104.8,89,0
2011-2012,OKLAHOMA CITY THUNDER,2011-12-25,240,34,72,10,19,19,26,7,36,21,8,5,16,22,0.581,0.542,0.264,0.361,18.4,72.0,48.9,61.8,8.6,9.4,16.1,100.0,104.8,96.2,97,0
2011-2012,MILWAUKEE BUCKS,2011-12-26,240,34,84,8,23,19,23,8,31,21,6,2,12,20,0.505,0.452,0.274,0.274,17.8,67.4,42.9,61.8,6.3,3.0,11.3,100.0,100.3,101.4,95,0
2011-2012,CHARLOTTE BOBCATS,2011-12-26,240,38,86,4,19,16,21,15,37,27,3,6,16,20,0.504,0.465,0.221,0.244,32.6,82.2,57.1,71.1,3.2,9.8,14.4,100.0,101.4,100.3,96,0
2011-2012,TORONTO RAPTORS,2011-12-26,240,42,79,9,21,11,13,11,34,35,4,9,12,22,0.614,0.589,0.266,0.165,33.3,69.4,54.9,83.3,4.7,13.8,12.4,100.0,122.5,113.1,104,0
2011-2012,CLEVELAND CAVALIERS,2011-12-26,240,35,85,6,20,20,28,15,22,21,7,1,7,16,0.493,0.447,0.235,0.329,30.6,66.7,45.1,60.0,8.2,1.7,6.7,100.0,113.1,122.5,96,0
