team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
HOUSTON ROCKETS,2014-10-28,240,31,73,12,29,34,50,14,33,22,7,3,13,30,0.568,0.507,0.397,0.685,35.9,75,56.6,71,7.7,4.3,12,100,118.8,99
LOS ANGELES LAKERS,2014-10-28,240,28,79,3,10,31,39,11,25,16,7,3,11,32,0.468,0.373,0.127,0.494,25,64.1,43.4,57.1,7.7,6.8,10.3,100,99,118.8
ORLANDO MAGIC,2014-10-28,240,32,84,4,11,16,21,16,40,17,5,9,18,25,0.45,0.405,0.131,0.25,30.8,60.6,47.5,53.1,5.3,10.7,16.2,100,88.2,106.1
NEW ORLEANS PELICANS,2014-10-28,240,41,101,4,17,15,31,26,36,20,10,17,9,17,0.441,0.426,0.168,0.307,39.4,69.2,52.5,48.8,10.5,23.3,7.3,100,106.1,88.2
DALLAS MAVERICKS,2014-10-28,240,38,78,8,21,16,19,9,24,17,9,3,10,20,0.579,0.538,0.269,0.244,23.7,72.7,46.5,44.7,10.5,7.1,10.4,100,116.1,117.3
SAN ANTONIO SPURS,2014-10-28,240,37,70,14,28,13,16,9,29,23,5,3,20,20,0.656,0.629,0.4,0.229,27.3,76.3,53.5,62.2,5.8,5.3,20.6,100,117.3,116.1
BROOKLYN NETS,2014-10-29,240,39,80,7,19,20,26,9,30,20,6,7,20,21,0.574,0.531,0.238,0.325,25.7,76.9,52.7,51.3,6,10.6,17.9,100,105.7,121.8
BOSTON CELTICS,2014-10-29,240,49,88,8,22,15,23,9,26,28,11,5,12,25,0.617,0.602,0.25,0.261,23.1,74.3,47.3,57.1,11.1,8.2,10.9,100,121.8,105.7
MILWAUKEE BUCKS,2014-10-29,265,39,80,7,14,21,24,3,32,25,9,10,14,25,0.585,0.531,0.175,0.3,7.9,68.1,41.2,64.1,8.9,12.5,13.4,100,104.8,106.8
CHARLOTTE HORNETS,2014-10-29,265,41,101,6,21,20,29,15,35,27,8,9,10,20,0.475,0.436,0.208,0.287,31.9,92.1,58.8,65.9,7.9,13.6,8.1,100,106.8,104.8
DETROIT PISTONS,2014-10-29,240,31,84,6,26,11,19,8,37,15,4,5,15,27,0.428,0.405,0.31,0.226,17.8,72.5,46.9,48.4,4.2,8.2,14,100,82,92.3
DENVER NUGGETS,2014-10-29,240,30,85,6,24,23,31,14,37,17,7,4,15,21,0.451,0.388,0.282,0.365,27.5,82.2,53.1,56.7,7.3,6.9,13.2,100,92.3,82
PHILADELPHIA 76ERS,2014-10-29,240,34,89,6,21,17,30,15,27,17,10,5,11,29,0.445,0.416,0.236,0.337,29.4,65.9,45.7,50,10.6,8.9,9.7,100,96.7,109.5
INDIANA PACERS,2014-10-29,240,38,81,8,25,19,28,14,36,22,5,13,17,24,0.552,0.519,0.309,0.346,34.1,70.6,54.3,57.9,5.3,19.1,15.4,100,109.5,96.7
MINNESOTA TIMBERWOLVES,2014-10-29,240,39,86,6,12,17,23,19,28,20,8,4,23,21,0.525,0.488,0.14,0.267,45.2,73.7,58.8,51.3,8.4,6,19.3,100,105.5,109.7
MEMPHIS GRIZZLIES,2014-10-29,240,43,82,4,15,15,20,10,23,21,10,5,17,21,0.578,0.549,0.183,0.244,26.3,54.8,41.3,48.8,10.4,6.8,15.8,100,109.7,105.5
WASHINGTON WIZARDS,2014-10-29,240,36,75,6,19,17,24,7,29,20,7,2,14,20,0.555,0.52,0.253,0.32,17.9,70.7,45,55.6,7.7,3.8,14.1,100,104.3,117.5
MIAMI HEAT,2014-10-29,240,39,81,9,28,20,23,12,32,20,9,3,14,17,0.587,0.537,0.346,0.284,29.3,82.1,55,51.3,9.9,5.4,13.3,100,117.5,104.3
CHICAGO BULLS,2014-10-29,240,36,71,7,24,25,30,10,37,21,9,4,15,18,0.618,0.556,0.338,0.423,29.4,72.5,55.3,58.3,10.3,5.9,15.1,100,119.6,92
