team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating,season
ORLANDO MAGIC,2013-10-29,240,36,93,9,19,6,10,13,26,17,10,6,17,26,0.447,0.435,0.204,0.10800000000000001,27.7,72.2,47.0,47.2,10.5,11.1,14.9,100,91.6,102.1,2013-2014
INDIANA PACERS,2013-10-29,240,34,71,7,17,22,32,10,34,17,4,18,20,13,0.57,0.528,0.239,0.451,27.8,72.3,53.0,50.0,4.2,24.3,19.0,100,102.1,91.6,2013-2014
LOS ANGELES CLIPPERS,2013-10-29,240,41,83,8,21,13,23,10,30,27,11,4,16,21,0.5529999999999999,0.542,0.253,0.27699999999999997,22.7,62.5,43.5,65.9,11.0,6.3,14.7,100,102.6,115.6,2013-2014
LOS ANGELES LAKERS,2013-10-29,240,42,93,14,29,18,28,18,34,23,8,6,19,23,0.551,0.527,0.312,0.301,37.5,77.3,56.5,54.8,8.0,9.7,15.3,100,115.6,102.6,2013-2014
CHICAGO BULLS,2013-10-29,240,35,83,7,26,18,23,11,30,23,11,4,18,27,0.51,0.46399999999999997,0.313,0.27699999999999997,23.9,85.7,50.6,65.7,11.3,7.7,16.2,100,97.9,110.2,2013-2014
MIAMI HEAT,2013-10-29,240,37,72,11,20,22,29,5,35,26,10,7,18,21,0.631,0.59,0.278,0.40299999999999997,14.3,76.1,49.4,70.3,10.3,12.3,17.5,100,110.2,97.9,2013-2014
BROOKLYN NETS,2013-10-30,240,33,82,9,24,19,24,9,28,24,8,8,15,27,0.508,0.457,0.293,0.293,22.0,63.6,43.5,72.7,8.7,11.6,13.9,100,101.8,106.2,2013-2014
CLEVELAND CAVALIERS,2013-10-30,240,35,84,5,15,23,34,16,32,21,7,3,11,20,0.495,0.446,0.179,0.405,36.4,78.0,56.5,60.0,7.6,5.2,10.0,100,106.2,101.8,2013-2014
ATLANTA HAWKS,2013-10-30,240,37,76,8,24,27,35,5,28,27,16,5,17,20,0.596,0.539,0.316,0.461,12.5,80.0,44.0,73.0,15.9,9.4,15.7,100,108.3,117.2,2013-2014
DALLAS MAVERICKS,2013-10-30,240,44,77,11,24,19,24,7,35,31,7,2,20,22,0.674,0.643,0.312,0.312,20.0,87.5,56.0,70.5,7.0,3.8,18.6,100,117.2,108.3,2013-2014
